0.0 0.0
0.1005 0.83182
0.20101 1.5909
0.30151 2.2889
0.40201 2.935
0.50251 3.5364
0.60302 4.0988
0.70352 4.6269
0.80402 5.1248
0.90452 5.5957
1.005 6.0424
1.1055 6.4672
1.206 6.8722
1.3065 7.2592
1.407 7.6296
1.5075 7.9849
1.608 8.3263
1.7085 8.6547
1.809 8.9712
1.9095 9.2765
2.0101 9.5715
2.1106 9.8568
2.2111 10.133
2.3116 10.401
2.4121 10.66
2.5126 10.912
2.6131 11.158
2.7136 11.396
2.8141 11.628
2.9146 11.854
3.0151 12.074
3.1156 12.289
3.2161 12.498
3.3166 12.703
3.4171 12.903
3.5176 13.098
3.6181 13.289
3.7186 13.476
3.8191 13.659
3.9196 13.839
4.0201 14.014
4.1206 14.186
4.2211 14.355
4.3216 14.521
4.4221 14.683
4.5226 14.843
4.6231 15.0
4.7236 15.153
4.8241 15.305
4.9246 15.453
5.0251 15.599
5.1256 15.743
5.2261 15.884
5.3266 16.023
5.4271 16.16
5.5276 16.295
5.6281 16.428
5.7286 16.559
5.8291 16.687
5.9296 16.814
6.0302 16.939
6.1307 17.063
6.2312 17.184
6.3317 17.304
6.4322 17.422
6.5327 17.539
6.6332 17.654
6.7337 17.768
6.8342 17.88
6.9347 17.991
7.0352 18.1
7.1357 18.208
7.2362 18.315
7.3367 18.42
7.4372 18.524
7.5377 18.627
7.6382 18.728
7.7387 18.829
7.8392 18.928
7.9397 19.026
8.0402 19.124
8.1407 19.22
8.2412 19.315
8.3417 19.409
8.4422 19.501
8.5427 19.593
8.6432 19.684
8.7437 19.774
8.8442 19.864
8.9447 19.952
9.0452 20.039
9.1457 20.126
9.2462 20.211
9.3467 20.296
9.4472 20.38
9.5477 20.463
9.6482 20.546
9.7487 20.627
9.8492 20.708
9.9497 20.788
10.05 20.867
10.151 20.946
10.251 21.024
10.352 21.101
10.452 21.178
10.553 21.254
10.653 21.329
10.754 21.404
10.854 21.477
10.955 21.551
11.055 21.624
11.156 21.696
11.256 21.767
11.357 21.838
11.457 21.908
11.558 21.978
11.658 22.048
11.759 22.116
11.859 22.184
11.96 22.252
12.06 22.319
12.161 22.386
12.261 22.452
12.362 22.517
12.462 22.582
12.563 22.647
12.663 22.711
12.764 22.775
12.864 22.838
12.965 22.901
13.065 22.963
13.166 23.025
13.266 23.086
13.367 23.147
13.467 23.208
13.568 23.268
13.668 23.328
13.769 23.387
13.869 23.446
13.97 23.504
14.07 23.562
14.171 23.62
14.271 23.678
14.372 23.735
14.472 23.791
14.573 23.847
14.673 23.903
14.774 23.959
14.874 24.014
14.975 24.069
15.075 24.123
15.176 24.177
15.276 24.231
15.377 24.285
15.477 24.338
15.578 24.391
15.678 24.443
15.779 24.495
15.879 24.547
15.98 24.599
16.08 24.65
16.181 24.701
16.281 24.752
16.382 24.802
16.482 24.852
16.583 24.902
16.683 24.951
16.784 25.001
16.884 25.049
16.985 25.098
17.085 25.147
17.186 25.195
17.286 25.243
17.387 25.29
17.487 25.338
17.588 25.385
17.688 25.431
17.789 25.478
17.889 25.524
17.99 25.57
18.09 25.616
18.191 25.662
18.291 25.707
18.392 25.752
18.492 25.797
18.593 25.842
18.693 25.886
18.794 25.931
18.894 25.975
18.995 26.018
19.095 26.062
19.196 26.105
19.296 26.148
19.397 26.191
19.497 26.234
19.598 26.276
19.698 26.319
19.799 26.361
19.899 26.403
20.0 26.444
